Job Title,Company Name,Location,Job Type,Category,Salary,Post Date,Deadline,Job URL,Company Logo URL,Location Clean,Min Salary,Max Salary,Average Salary
Reklam ustası köməkçisi,N-ADVERT  MMC,Bakı,Tam-ştat,Digər,350 - 500 AZN,23 aprel 2025,23 may 2025,https://www.hellojob.az/vakansiya/reklam-ustasi-komekcisi,Unknown,Bakı,350.0,500.0,425.0
Ofisiant,United Coffee Beans,"Bakı, United Coffee Beans White City, Ağ şəhər, Yaşıl Ada 2",Tam-ştat,Ofisiant,450 - 500 AZN,23 aprel 2025,23 may 2025,https://www.hellojob.az/vakansiya/ofisiant-1082165,Unknown,Bakı,450.0,500.0,475.0
Ofisiant,Lux İnternational Hospital,"Bakı, 146A Faig Yusifov,",Tam-ştat,Restoran işi,500 AZN,23 aprel 2025,23 may 2025,https://www.hellojob.az/vakansiya/ofisiant-1082166,Unknown,Bakı,500.0,500.0,500.0
Reception,GOLD MMC,"Bakı, Neftçilər m/st yaxınlığı",Tam-ştat,Digər,400 - 500 AZN,23 aprel 2025,23 may 2025,https://www.hellojob.az/vakansiya/reception-1082559,Unknown,Bakı,400.0,500.0,450.0
Çapçı - Operator,N-ADVERT  MMC,Bakı,Tam-ştat,Digər,500 - 800 AZN,23 aprel 2025,23 may 2025,https://www.hellojob.az/vakansiya/capci-operator,Unknown,Bakı,500.0,800.0,650.0
ERP Sistem administratoru,MEGA Reklam MMC,"Bakı, Bakı şəhəri Binəqədi rayonu Biləcəri qəs. Məmmədoglular servisin yaxınlığı.",Tam-ştat,Sistem idarəetməsi,600 - 800 AZN,23 aprel 2025,23 may 2025,https://www.hellojob.az/vakansiya/erp-sistem-administratoru,Unknown,Bakı,600.0,800.0,700.0
Incoming manager,Caspian Charm,"Bakı, Yusifbey Ibrahimli 16",Tam-ştat,Turizm və mehmanxana işi,Razılaşma ilə,23 aprel 2025,23 may 2025,https://www.hellojob.az/vakansiya/incoming-manager-1080568,https://www.hellojob.az/resized/companies/1cc254fefb15925f3fa76d6883969367-120--resize.webp,Bakı,Unknown,Unknown,Unknown
Middle/Senior Manual QA Engineer,Afea Group,Bakı,Tam-ştat,Digər,Razılaşma ilə,23 aprel 2025,23 may 2025,https://www.hellojob.az/vakansiya/middlesenior-manual-qa-engineer,https://www.hellojob.az/resized/companies/c03ef9673cb34ec0fba1e042360637e4-120--resize.webp,Bakı,Unknown,Unknown,Unknown
Manual QA Intern,Afea Group,Bakı,Təcrübəçi,Digər,400 AZN,23 aprel 2025,23 may 2025,https://www.hellojob.az/vakansiya/manual-qa-intern,https://www.hellojob.az/resized/companies/c03ef9673cb34ec0fba1e042360637e4-120--resize.webp,Bakı,400.0,400.0,400.0
Xaricdə təhsil üzrə mütəxəssis,Beststudy MMC,"Bakı, Məmməd Araz 43",Tam-ştat,Digər,600 - 1000 AZN,23 aprel 2025,23 may 2025,https://www.hellojob.az/vakansiya/xaricde-tehsil-uzre-mutexessis-1074243,Unknown,Bakı,600.0,1000.0,800.0
